,date,low,high,open,close,volume
859,2020-02-05 20:00:00,202.2,204.0,202.21,203.58,6196.94026867
860,2020-02-05 21:00:00,203.3,207.93,203.54,206.67,8436.30351936
861,2020-02-05 22:00:00,204.5,206.97,206.68,204.75,6920.66020392
862,2020-02-05 23:00:00,204.0,206.97,204.75,204.0,9142.49161009
863,2020-02-06 00:00:00,200.54,205.3,204.01,203.09,12131.19784813
864,2020-02-06 01:00:00,202.5,204.81,203.1,204.03,4557.95999634
865,2020-02-06 02:00:00,202.34,204.52,204.03,203.02,7615.35087866
866,2020-02-06 03:00:00,202.84,206.48,202.99,206.37,6494.25976432
867,2020-02-06 04:00:00,204.7,206.49,206.4,205.88,7553.88189142
868,2020-02-06 05:00:00,205.2,207.35,205.75,206.79,4533.47854769
869,2020-02-06 06:00:00,205.39,207.98,206.75,207.1,5458.3793343
870,2020-02-06 07:00:00,206.57,212.0,207.09,209.06,10995.48141692
871,2020-02-06 08:00:00,208.18,210.05,209.06,209.24,3979.94527124
872,2020-02-06 09:00:00,207.5,209.52,209.25,209.52,1605.94423175
873,2020-02-06 10:00:00,208.84,210.55,209.51,210.31,4286.80342768
874,2020-02-06 11:00:00,208.68,210.92,210.31,210.23,3520.40118843
875,2020-02-06 12:00:00,210.22,215.56,210.23,215.0,9801.90017543
876,2020-02-06 13:00:00,205.41,216.49,214.99,210.88,18716.74630409
877,2020-02-06 14:00:00,208.56,215.72,210.78,213.88,11507.97238908
878,2020-02-06 15:00:00,209.51,214.36,213.88,212.32,10627.42504285
879,2020-02-06 16:00:00,210.7,214.3,212.31,213.23,8543.0677434
880,2020-02-06 17:00:00,212.12,214.44,213.24,212.85,6410.50374743
881,2020-02-06 18:00:00,211.16,213.0,212.83,212.45,5207.93868497
882,2020-02-06 19:00:00,211.19,213.12,212.57,211.58,3964.95771586
883,2020-02-06 20:00:00,211.06,213.31,211.59,213.3,4787.07235824
884,2020-02-06 21:00:00,212.67,213.88,213.29,213.35,3543.35325733
885,2020-02-06 22:00:00,211.05,213.93,213.35,211.1,2971.13957365
886,2020-02-06 23:00:00,210.69,213.49,211.09,212.95,3501.27588727
887,2020-02-07 00:00:00,212.94,218.0,212.94,217.35,16026.22489697
888,2020-02-07 01:00:00,216.91,219.41,217.46,218.85,12503.58585669
889,2020-02-07 02:00:00,218.67,220.81,218.85,218.73,14323.74328457
890,2020-02-07 03:00:00,216.69,219.91,218.8,216.71,7151.68796763
891,2020-02-07 04:00:00,215.57,219.29,216.71,218.22,7877.68457816
892,2020-02-07 05:00:00,216.88,219.06,218.22,217.37,3256.10054671
893,2020-02-07 06:00:00,217.27,218.62,217.52,217.69,2463.47557918
894,2020-02-07 07:00:00,216.63,218.66,217.73,218.55,3786.15749759
895,2020-02-07 08:00:00,216.45,219.3,218.55,217.51,4266.57916806
896,2020-02-07 09:00:00,217.08,219.19,217.5,218.54,2038.46152736
897,2020-02-07 10:00:00,218.39,222.63,218.55,221.96,4948.15685527
898,2020-02-07 11:00:00,219.88,224.78,221.98,220.32,8004.91283446
899,2020-02-07 12:00:00,217.23,221.56,220.38,218.37,7961.21429376
900,2020-02-07 13:00:00,218.43,220.85,218.43,220.11,4439.47635903
901,2020-02-07 14:00:00,220.0,223.56,220.12,222.12,7205.12748764
902,2020-02-07 15:00:00,220.18,223.02,222.13,221.2,10622.86844845
903,2020-02-07 16:00:00,219.43,222.59,221.2,221.38,7860.43817538
904,2020-02-07 17:00:00,220.49,221.89,221.38,220.55,3478.61824095
905,2020-02-07 18:00:00,220.24,222.27,220.61,221.92,2807.28956442
906,2020-02-07 19:00:00,220.67,222.0,221.92,221.14,4911.16018707
907,2020-02-07 20:00:00,218.72,221.56,221.14,218.72,5651.94073053
908,2020-02-07 21:00:00,218.27,220.41,218.76,219.55,5888.56921667
909,2020-02-07 22:00:00,219.55,222.52,219.56,222.19,4061.07564063
910,2020-02-07 23:00:00,221.32,224.02,222.19,223.22,10116.96593561
911,2020-02-08 00:00:00,220.69,224.29,223.22,221.03,8897.19877358
912,2020-02-08 01:00:00,219.57,221.35,221.03,221.08,4697.54267472
913,2020-02-08 02:00:00,214.92,221.52,221.08,216.53,12718.97193879
914,2020-02-08 03:00:00,213.24,217.83,216.37,217.44,16753.92974542
915,2020-02-08 04:00:00,217.11,220.49,217.35,219.86,5169.88858735
916,2020-02-08 05:00:00,218.6,222.0,219.87,220.37,4529.38721236
917,2020-02-08 06:00:00,219.75,221.75,220.25,220.24,3905.73728174
918,2020-02-08 07:00:00,219.88,220.87,220.21,220.16,1203.16717732
919,2020-02-08 08:00:00,220.16,226.67,220.18,225.06,13130.16397806
920,2020-02-08 09:00:00,222.5,226.32,225.18,224.49,4598.82694916
921,2020-02-08 10:00:00,224.53,227.81,224.53,225.23,4375.36433625
922,2020-02-08 11:00:00,225.0,226.72,225.35,226.44,2754.22045365
923,2020-02-08 12:00:00,225.35,227.12,226.4,225.98,3474.05787092
924,2020-02-08 13:00:00,223.55,228.4,225.71,225.88,5400.94582989
925,2020-02-08 14:00:00,225.54,227.25,225.88,227.0,4881.52026164
926,2020-02-08 15:00:00,224.72,227.35,227.01,225.29,3722.29450229
927,2020-02-08 16:00:00,224.36,226.25,225.28,225.58,4689.27024137
928,2020-02-08 17:00:00,223.36,225.58,225.58,224.15,5285.10293072
929,2020-02-08 18:00:00,222.3,224.77,224.15,223.32,4829.80350479
930,2020-02-08 19:00:00,223.35,225.39,223.35,225.0,7275.28129789
931,2020-02-08 20:00:00,223.64,225.01,225.0,223.67,2669.07875987
932,2020-02-08 21:00:00,223.0,224.49,223.66,223.14,3153.19049387
933,2020-02-08 22:00:00,221.94,224.33,223.15,224.23,6183.87080202
934,2020-02-08 23:00:00,223.16,225.11,224.22,223.37,3176.78599628
